t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
39000,0.021306462585926056,0.003370910882949829,1,"[12, 153]","[164, 486]",7,-5.427204999692017e-06,-5.238699017006193e-06,0.9979896807956699,0.9961753102567532,0.003066491065291499,0.003066491065291499,0.003074824402402365,0.00031006336212158203,0.0002619922161102295,1.0,1.0,0.021306462585926056,0.0033852795604616404,53099.250805189324,24027.520717269024,-17904.86047077179,17937.834151804447,42.883543252944946,-24.11127596111328,-5.686565464577143
40000,0.021315231919288635,0.0033714505843818188,1,"[12, 156]","[167, 486]",7,-5.4774282638028864e-06,-5.241116539578635e-06,0.9980839575346401,0.9960389498376534,0.003069721160595229,0.003069721160595229,0.003078245705922855,0.0003051459789276123,0.00026148557662963867,1.0,1.0,0.021315231919288635,0.0033855445217341185,52627.44372198422,24494.695450865027,-18377.16941678524,18404.741111278534,37.58168923854828,-24.61313876946224,-5.954339586493006
41000,0.02129422500729561,0.003371956292539835,1,"[12, 159]","[170, 486]",7,-5.514421896545688e-06,-5.243610049416159e-06,0.9982351633704245,0.9959330783015259,0.0030719914479477306,0.0030719914479477306,0.003080698806529336,0.00030097365379333496,0.00026088953018188477,1.0,1.0,0.02129422500729561,0.003385004820302129,52155.53631240559,24961.99474323739,-18849.58359539509,18871.762726843357,32.27246779203415,-25.11990780067572,-6.232016394031234
42000,0.02129732258617878,0.003372369334101677,1,"[12, 162]","[173, 486]",7,-5.5432785372775315e-06,-5.248658736003727e-06,0.9983932935800425,0.9958266460505711,0.003075127452981885,0.003075127452981885,0.003084044385174678,0.0002982914447784424,0.0002598762512207031,1.0,1.0,0.02129732258617878,0.0033850567415356636,51683.5744631823,25429.313631418463,-19322.0634483099,19338.791659832,26.886610567569733,-25.637911492201965,-6.521971586462314
43000,0.02129606530070305,0.003372954437509179,1,"[12, 165]","[176, 486]",7,-5.56538858662621e-06,-5.254755892661228e-06,0.9985398708619089,0.9957797632082106,0.0030780435411387197,0.0030780435411387197,0.003087128333482847,0.00029599666595458984,0.0002588629722595215,1.0,1.0,0.02129606530070305,0.003384811570867896,51211.542662776046,25896.762914407525,-19794.621284723282,19805.940819442272,21.52301412820816,-26.16394749932806,-6.8220949652532
44000,0.02129388600587845,0.003373395884409547,1,"[12, 168]","[179, 486]",7,-5.583853672707496e-06,-5.260492630912304e-06,0.9986759525149698,0.9957821179657369,0.0030806256052477443,0.0030806256052477443,0.0030898349219471988,0.00029399991035461426,0.00025776028633117676,1.0,1.0,0.02129388600587845,0.0033852437045425177,50739.420439026275,26364.314443316798,-20267.2783151865,20273.179466068745,16.129869520664215,-26.698754212775384,-7.134977248053474
45000,0.02127961255609989,0.003374000545591116,1,"[12, 171]","[182, 486]",7,-5.596316772541835e-06,-5.26700199558274e-06,0.9987379116795988,0.9958362234787075,0.0030834612655321614,0.0030834612655321614,0.0030927264423195044,0.00029289722442626953,0.0002567470073699951,1.0,1.0,0.02127961255609989,0.003384661627933383,50267.22710233505,26831.95037032852,-20739.999065756798,20740.491996645927,10.726254045963287,-27.226168091845466,-7.458373682591628
46000,0.021257586777210236,0.003374707419425249,1,"[12, 174]","[185, 486]",7,-5.605449860378339e-06,-5.272980798670315e-06,0.9988339070619029,0.995948280214261,0.0030857632212871744,0.0030857632212871744,0.003095052097422002,0.0002918839454650879,0.0002557039260864258,1.0,1.0,0.021257586777210236,0.0033839738462120295,49794.91247161098,27299.734624120523,-21212.833804249763,21207.942648530006,5.324471056461334,-27.74627586074348,-7.791975590516813
47000,0.02125638909637928,0.003375022206455469,1,"[12, 177]","[188, 486]",7,-5.607469173021795e-06,-5.27623645455513e-06,0.9988410366172417,0.9960639392087322,0.0030865734091831687,0.0030865734091831687,0.0030958605331887767,0.0002911984920501709,0.000254899263381958,1.0,1.0,0.02125638909637928,0.0033816758077591658,49322.46374395631,27767.648130151178,-21685.779806613922,21675.511390268803,-0.09386128187179565,-28.243550570230582,-8.136739882374968
48000,0.021249251440167427,0.0033752666786313057,1,"[12, 180]","[191, 486]",7,-5.604391658925292e-06,-5.279320609888684e-06,0.9988717607784832,0.9961565140098589,0.003086564524878155,0.003086564524878155,0.0030958814817395597,0.0002906620502471924,0.00025400519371032715,1.0,1.0,0.021249251440167427,0.0033794830087572336,48849.91315265048,28235.683688990703,-22158.799617767334,22143.18962520361,-5.5003509521484375,-28.712770417812862,-8.494063787093182
