t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
42000,0.021311232820153236,0.004189891740679741,1,"[12, 189]","[202, 486]",9,-2.956990660751924e-06,-2.715091437006975e-06,0.9950527531398513,0.9829593444342027,0.0019304549017084005,0.0019304549017084005,0.0019304549017084005,0.00035190582275390625,0.0002560913562774658,1.0,1.0,0.013181161135435104,0.002537255408242345,72649.85408026518,45889.900582766895,-36546.6229929328,36531.33333718777,-9.238093733787537,3.522926802019356,1.4327544208717882
43000,0.021694645285606384,0.00420012790709734,1,"[12, 193]","[206, 486]",9,-2.90115322110538e-06,-2.8102832453832978e-06,0.9948569319433161,0.9835232994468749,0.001943858644525065,0.001943858644525065,0.001943858644525065,0.0003605484962463379,0.0002429187297821045,1.0,1.0,0.013194308616220951,0.0027047209441661835,71731.35619090265,46801.929729939606,-37465.051979124546,37443.44512397051,-15.515662133693695,3.591829972807318,1.5153940309028258
44000,0.02264557033777237,0.004208617843687534,1,"[12, 197]","[210, 486]",9,-2.8449980864941733e-06,-2.873457425077717e-06,0.9910772093143401,0.9836327261865252,0.0019460949399128236,0.0019372203839350677,0.0019460949399128236,0.0003656744956970215,0.00023236870765686035,1.0,1.0,0.01584160514175892,0.0029219018761068583,70811.89999818447,47715.20124720491,-38384.44064813852,38356.79940742254,-21.546951115131378,3.6593536770087667,1.5981602176325396
45000,0.02343919314444065,0.004214548040181398,1,"[12, 201]","[213, 486]",8,-2.8877064078994244e-06,-2.823747582595645e-06,0.9941030818132724,0.9566771674546483,0.0019355925465943113,0.0019355925465943113,0.001944505095166027,0.0003571808338165283,0.00023615360260009766,1.0,1.0,0.01533034909516573,0.0023250337690114975,69891.87702135621,48630.047737965135,-39304.403431952,39271.73044329882,-26.609343707561493,3.719546691791038,1.6827053336819517
46000,0.024012750014662743,0.004218132235109806,1,"[12, 205]","[217, 486]",8,-2.915194174219888e-06,-2.7867401549495486e-06,0.9961127932438588,0.9678393911263085,0.0019328544332726239,0.0019328544332726239,0.0019332391860457654,0.00035503506660461426,0.00024011731147766113,1.0,1.0,0.016539789736270905,0.002413706388324499,68971.0639265418,49545.460781837464,-40225.16470640898,40187.22988075018,-31.944555640220642,3.771367049223045,1.7690989127149805
47000,0.02117728628218174,0.004208981059491634,1,"[12, 208]","[221, 486]",9,-2.9191507179165915e-06,-2.7217032513082456e-06,0.9982214314891653,0.9773440302954943,0.0019251467414294066,0.0019251467414294066,0.0019251467414294066,0.0003554224967956543,0.00024840235710144043,1.0,1.0,0.012717598117887974,0.002478525508195162,68049.55907636943,50461.63300899495,-41146.62266141176,41103.49025684595,-37.254878520965576,3.8182622188032838,1.8572478510031942
48000,0.021472299471497536,0.004216981586068869,1,"[12, 212]","[225, 486]",9,-2.898245162493502e-06,-2.728954736303744e-06,0.9962115008774701,0.9752095690453371,0.0019286852142424982,0.0019286852142424982,0.0019286852142424982,0.00036004185676574707,0.00024887919425964355,1.0,1.0,0.01332060620188713,0.002563146874308586,67127.05524775777,51378.53414115062,-42069.08297544718,42020.47733795643,-42.88572317361832,3.8617767950490816,1.9431968058052007
49000,0.021994778886437416,0.0042275418527424335,1,"[12, 216]","[229, 486]",9,-2.8889807591114953e-06,-2.817613760461984e-06,0.9963269707821781,0.9838905451355587,0.001939039104066509,0.00192963107262073,0.001939039104066509,0.0003606081008911133,0.0002365410327911377,1.0,1.0,0.0144646055996418,0.0028049126267433167,66203.12332599904,52296.638094222224,-42992.973602831364,42938.665513932705,-48.788904309272766,3.9030711695959326,2.027419710480899
50000,0.022822808474302292,0.004233535844832659,1,"[12, 220]","[233, 486]",9,-2.9208332397630264e-06,-2.8512490607473393e-06,0.9960052713477554,0.9822825402347725,0.0019396731645247578,0.0019301748429111365,0.0019396731645247578,0.00035306811332702637,0.00022897124290466309,1.0,1.0,0.016263477504253387,0.002966352039948106,65278.31872977527,53216.08968818218,-43917.74094051123,43858.20237368345,-54.26752972602844,3.9403297135067987,2.1126855012698798
51000,0.023484721779823303,0.004238851368427277,1,"[12, 224]","[236, 486]",8,-2.8851782072102105e-06,-2.8063593586893778e-06,0.9926622500438541,0.9486747962023153,0.0019252017603139104,0.0019252017603139104,0.001934843086075111,0.0003554224967956543,0.00023102760314941406,1.0,1.0,0.015434573404490948,0.002328201662749052,64352.92396019045,54136.0699072218,-44843.1036837697,44778.265835642815,-59.864106595516205,3.972356039848819,2.1959284210170154
52000,0.02397453412413597,0.004243168514221907,1,"[12, 228]","[240, 486]",8,-2.903283379800711e-06,-2.8055824964791944e-06,0.9982168082628895,0.9538918954542797,0.0019302529493752107,0.0019302529493752107,0.001931193125997821,0.00035580992698669434,0.00023165345191955566,1.0,1.0,0.016494667157530785,0.002389080123975873,63426.809362597116,55056.88899421088,-45769.191691577435,45699.17118346691,-65.39346343278885,3.998945825449482,2.2821892560314154
53000,0.021073946729302406,0.004232525359839201,1,"[12, 231]","[244, 486]",9,-2.9098553518992523e-06,-2.769434002900157e-06,0.9962704636259073,0.9773259339662056,0.0019292750135069259,0.0019292750135069259,0.0019292750135069259,0.0003592073917388916,0.00023442506790161133,1.0,1.0,0.012478619813919067,0.002456854796037078,62499.727583229585,55978.41879659004,-46696.24816638231,46620.789199352264,-71.2273736000061,4.024250388101791,2.3704027622225112
54000,0.021434245631098747,0.004239512607455254,1,"[12, 235]","[248, 486]",9,-2.894093809593437e-06,-2.7826327416471136e-06,0.9935314268268295,0.9748790434675896,0.0019305108687473482,0.0019305108687473482,0.0019305108687473482,0.0003615915775299072,0.00023305416107177734,1.0,1.0,0.013220923952758312,0.002543448470532894,61571.8959942866,56900.92657428524,-47624.05320817232,47543.384113550186,-76.88612371683121,4.050797541080101,2.457539264949446
55000,0.021431712433695793,0.004247014876455069,1,"[12, 239]","[252, 486]",9,-2.9534360820800626e-06,-2.778733833587174e-06,0.9973741750459404,0.9703373496765303,0.0019373954311470154,0.0019373954311470154,0.0019373954311470154,0.00035315752029418945,0.0002351999282836914,1.0,1.0,0.013204694725573063,0.0026460192166268826,60643.524108730555,57824.67384339495,-48552.39911478758,48467.22086465359,-81.89519369602203,4.0767764818665455,2.54702125863696
56000,0.022281253710389137,0.004255414009094238,1,"[12, 243]","[256, 486]",9,-2.9594095495226335e-06,-2.7690706975454653e-06,0.9946452011979441,0.972737768255201,0.0019338399997712585,0.0019232561662726466,0.0019338399997712585,0.0003484487533569336,0.00023660063743591309,1.0,1.0,0.01500307209789753,0.002856159582734108,59714.260880623326,58749.25979505462,-49481.638388335705,49391.896726071835,-87.01263588666916,4.100731040969549,2.6369310172158293
57000,0.022971130907535553,0.004260234534740448,1,"[12, 247]","[259, 486]",8,-2.938133740562889e-06,-2.7263517278928085e-06,0.991109932462848,0.9274731081658918,0.0019209204360121634,0.0019209204360121634,0.0019318153030805085,0.00034928321838378906,0.0002371072769165039,1.0,1.0,0.016621459275484085,0.0030041697900742292,58783.989282679264,59674.398247336,-50411.88389760256,50317.124922931194,-92.64015620946884,4.126819718178012,2.726675595193228
58000,0.023507192730903625,0.004264507908374071,1,"[12, 251]","[263, 486]",8,-2.905043748893672e-06,-2.764652500725201e-06,0.9958605952180016,0.9264068452760618,0.001920291880757874,0.001920291880757874,0.0019312908890463665,0.000353395938873291,0.0002307891845703125,1.0,1.0,0.015512519516050816,0.0023262647446244955,57852.993960105116,60600.08326969021,-51342.854468882084,51242.90149337053,-98.5052245259285,4.151571012800559,2.8182236803259
59000,0.023924846202135086,0.00426757475361228,1,"[12, 255]","[267, 486]",8,-2.858414240943689e-06,-2.8007561478931067e-06,0.996785482023324,0.9328490725499399,0.001918286693818938,0.001918286693818938,0.001918286693818938,0.0003609955310821533,0.00022396445274353027,1.0,1.0,0.016459956765174866,0.0023693034891039133,56921.27492625228,61526.319513711984,-52274.545201957226,52169.22671401501,-104.60067045688629,4.179871790496691,2.9072003030232736
60000,0.02097039483487606,0.004255181644111872,1,"[12, 258]","[271, 486]",9,-2.874008099688348e-06,-2.742404286726564e-06,0.9948238973573844,0.9611764442517419,0.001912718579386019,0.0019129051327023139,0.001912718579386019,0.00036221742630004883,0.00022599101066589355,1.0,1.0,0.012200416065752506,0.002444481011480093,55989.047649023574,62453.35672281916,-53206.7426032424,53096.35381603241,-110.45808112621307,4.209747734028497,2.9970932132491725
