step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
19600,2.880865044160e+04,2.880865044160e+04,1.920263765234e+04,9.602143207087e+03,0.000000000000e+00,0.000000000000e+00,2.880865045130e+04,0.000000000000e+00,3.869582168267e+00,-9.702518582344e-06,-3.869591870785e+00
19800,2.880874080608e+04,2.880874080608e+04,1.920266207640e+04,9.602159823010e+03,0.000000000000e+00,0.000000000000e+00,2.880874080312e+04,0.000000000000e+00,3.918906663646e+00,2.954155206680e-06,-3.918903709491e+00
20000,2.880883096148e+04,2.880883096148e+04,1.920268627591e+04,9.602176825689e+03,0.000000000000e+00,0.000000000000e+00,2.880883096337e+04,0.000000000000e+00,3.967859875256e+00,-1.896172761917e-06,-3.967861771431e+00
20200,2.880892041414e+04,2.880892041414e+04,1.920270969705e+04,9.602193189963e+03,0.000000000000e+00,0.000000000000e+00,2.880892042363e+04,0.000000000000e+00,4.017527127280e+00,-9.488314390182e-06,-4.017536615596e+00
20400,2.880901022130e+04,2.880901022130e+04,1.920273322761e+04,9.602210535029e+03,0.000000000000e+00,0.000000000000e+00,2.880901023275e+04,0.000000000000e+00,4.066458658461e+00,-1.144781708717e-05,-4.066470106278e+00
20600,2.880910013004e+04,2.880910013004e+04,1.920275663377e+04,9.602227805623e+03,0.000000000000e+00,0.000000000000e+00,2.880910015607e+04,0.000000000000e+00,4.115690648065e+00,-2.602487802505e-05,-4.115716672943e+00
20800,2.880919042975e+04,2.880919042975e+04,1.920278010487e+04,9.602243587693e+03,0.000000000000e+00,0.000000000000e+00,2.880919045919e+04,0.000000000000e+00,4.166737189469e+00,-2.944096922874e-05,-4.166766630438e+00
21000,2.880928037169e+04,2.880928037169e+04,1.920280373809e+04,9.602260355211e+03,0.000000000000e+00,0.000000000000e+00,2.880928040218e+04,0.000000000000e+00,4.216278382819e+00,-3.049522638321e-05,-4.216308878043e+00
21200,2.880937001804e+04,2.880937001804e+04,1.920282701566e+04,9.602277213089e+03,0.000000000000e+00,0.000000000000e+00,2.880937003791e+04,0.000000000000e+00,4.265789286284e+00,-1.987628638744e-05,-4.265809162571e+00
21400,2.880945902644e+04,2.880945902644e+04,1.920285004394e+04,9.602293512836e+03,0.000000000000e+00,0.000000000000e+00,2.880945907152e+04,0.000000000000e+00,4.315469661184e+00,-4.507601261139e-05,-4.315514737194e+00
