x,Req_r,R_r,dacc_r,net_r,cc,chi
105,2.040851141545e-09,-6.354538014948e-11,-1.835077326860e-11,-2.122006182709e-05,3.062541515550e-01,1.046608948255e-01
106,8.221061834511e-12,1.174714438294e-12,8.013980144595e-13,-1.136401204718e-06,1.055980305771e-01,5.129602324035e-04
107,-1.277313842458e-12,-9.049203077498e-14,5.256847317552e-14,-1.703035419611e-10,7.985476816061e-04,-9.058778057825e-05
108,-1.504157185279e-12,-5.390133711627e-14,6.957108063324e-14,6.064855027206e-09,3.503433381395e-05,-9.418649309026e-05
109,-1.451638809158e-12,-8.183224723601e-15,1.558375684371e-13,7.674648786369e-09,3.427883096403e-05,-9.150475218322e-05
110,-1.406874616805e-12,-1.315891685949e-13,8.484815812031e-14,7.755481446098e-09,3.597642753955e-05,-9.222753150720e-05
111,-1.234882083868e-12,7.791193615606e-14,7.662700926176e-14,9.052060058689e-09,3.557247664651e-05,-9.119090169104e-05
112,-1.220001877300e-12,-6.568617303665e-14,6.858330681335e-14,9.960920750387e-09,3.632560069993e-05,-9.152125799421e-05
113,-1.457168685232e-12,1.813926173115e-14,1.152443868495e-13,1.111743421316e-08,3.584715884880e-05,-9.112252692198e-05
114,-1.548313812104e-12,-1.156152936698e-13,6.201215952588e-14,1.219225824584e-08,3.645318544142e-05,-9.123158277214e-05
115,-1.135509078069e-12,-6.355216355214e-14,1.169533804795e-13,1.322233184391e-08,3.606682571378e-05,-9.121796382014e-05
116,-1.414288975787e-12,7.683357083114e-15,7.063112734171e-14,1.414561758292e-08,3.639252018281e-05,-9.110592258137e-05
117,-1.133367152141e-12,-2.245351940088e-13,1.262346667006e-13,1.485640845256e-08,3.619975859330e-05,-9.147965085366e-05
118,-1.432320284922e-12,-7.683879071464e-14,-3.116943850768e-14,1.561789607270e-08,3.593722087162e-05,-9.098729842002e-05
119,-1.363809548385e-12,-1.195434169862e-14,-3.034075261815e-14,1.609217910616e-08,3.751380359689e-05,-9.181416553518e-05
120,-7.776220891042e-13,9.847812103824e-15,1.613997091500e-13,1.604355376280e-08,3.590159877782e-05,-9.068390785461e-05
121,-2.346088540830e-12,1.710460838360e-14,1.285282065962e-13,1.661261734810e-08,2.700649921079e-05,-9.241749561379e-05
