x,Req_r,R_r,dacc_r,net_r,cc,chi
54,9.457451394863e-09,9.457451394863e-09,-2.481909986171e-09,2.554695432385e-07,0.000000000000e+00,5.583163386204e-12
55,1.004987603260e-08,1.004987603260e-08,1.239944443417e-08,8.332232634226e-08,0.000000000000e+00,4.968104242863e-12
56,1.003653677698e-08,1.003653677698e-08,-1.216661379052e-08,-9.271833631727e-08,0.000000000000e+00,4.289055648221e-12
57,9.664331123026e-09,9.664331123026e-09,-8.837782338055e-09,-2.689711335633e-07,0.000000000000e+00,3.552153373498e-12
58,1.110602170229e-08,1.110602170229e-08,1.476113943176e-08,-4.309022592174e-07,0.000000000000e+00,2.761437239552e-12
59,1.088184136380e-08,1.088184136380e-08,8.168475081523e-09,-5.740206688642e-07,0.000000000000e+00,1.919619428838e-12
60,1.075475463747e-08,1.075475463747e-08,1.080827334792e-08,-6.938094480170e-07,0.000000000000e+00,1.032038706499e-12
61,1.087116995930e-08,4.123608555852e-09,-2.242498643075e-08,-8.009374141693e-07,8.532430432968e-07,1.462483131335e-11
62,1.104264002707e-08,1.142810409268e-08,6.886613037851e-09,-8.585914555523e-07,2.500050101222e-01,8.626115889767e-07
63,8.560083289113e-09,-2.430537683217e-08,1.246517058462e-08,-5.740749960144e-07,7.500025388267e-01,2.500050021341e-01
