step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
18000,2.879998712927e+04,2.879998712927e+04,1.920020435085e+04,9.599797033812e+03,0.000000000000e+00,0.000000000000e+00,2.879998712724e+04,0.000000000000e+00,-1.425539245975e-02,2.020969986916e-06,1.425741342973e-02
18200,2.879998677762e+04,2.879998677762e+04,1.920020665244e+04,9.599795299073e+03,0.000000000000e+00,0.000000000000e+00,2.879998676795e+04,0.000000000000e+00,-1.517388699358e-02,9.674578905106e-06,1.518356157248e-02
18400,2.879998625273e+04,2.879998625273e+04,1.920020895638e+04,9.599793708388e+03,0.000000000000e+00,0.000000000000e+00,2.879998626447e+04,0.000000000000e+00,-1.641203000690e-02,-1.173280179501e-05,1.640029720511e-02
18600,2.879998573276e+04,2.879998573276e+04,1.920021096813e+04,9.599791864921e+03,0.000000000000e+00,0.000000000000e+00,2.879998571807e+04,0.000000000000e+00,-1.710028792877e-02,1.468881964684e-05,1.711497674842e-02
18800,2.879998503169e+04,2.879998503169e+04,1.920021258174e+04,9.599790650138e+03,0.000000000000e+00,0.000000000000e+00,2.879998502427e+04,0.000000000000e+00,-1.820018797662e-02,7.413327693939e-06,1.820760130431e-02
19000,2.879998442490e+04,2.879998442490e+04,1.920021378482e+04,9.599788718740e+03,0.000000000000e+00,0.000000000000e+00,2.879998441279e+04,0.000000000000e+00,-1.807865549927e-02,1.211091876030e-05,1.809076641803e-02
19200,2.879998410173e+04,2.879998410173e+04,1.920021490711e+04,9.599786818264e+03,0.000000000000e+00,0.000000000000e+00,2.879998409772e+04,0.000000000000e+00,-1.762364648675e-02,4.010275006294e-06,1.762765676176e-02
19400,2.879998363372e+04,2.879998363372e+04,1.920021555550e+04,9.599785331391e+03,0.000000000000e+00,0.000000000000e+00,2.879998362654e+04,0.000000000000e+00,-1.725316387456e-02,7.178634405136e-06,1.726034250896e-02
19600,2.879998304557e+04,2.879998304557e+04,1.920021639304e+04,9.599783675498e+03,0.000000000000e+00,0.000000000000e+00,2.879998304176e+04,0.000000000000e+00,-1.702296180883e-02,3.809109330177e-06,1.702677091816e-02
19800,2.879998261060e+04,2.879998261060e+04,1.920021745574e+04,9.599782135447e+03,0.000000000000e+00,0.000000000000e+00,2.879998262846e+04,0.000000000000e+00,-1.698058340298e-02,-1.786462962627e-05,1.696271877154e-02
20000,2.879998198758e+04,2.879998198758e+04,1.920021793206e+04,9.599780767662e+03,0.000000000000e+00,0.000000000000e+00,2.879998198670e+04,0.000000000000e+00,-1.671214858288e-02,8.754432201385e-07,1.671302402610e-02
