t,umax,urms,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ux,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
47000,0.021257424727082253,0.0033750205766409636,-6.027051551457658e-06,-3.829409174101772e-06,0.9960429524113955,0.8996239654358507,0.003051033693240557,0.0002283544583435715,0.0006515599003664163,1.0,1.0,0.021257424727082253,0.002965566935017705,0.0033818776719272137,49322.16860597645,27767.556867736952,-21686.0908639431,21675.470468580723,-0.44303834438323975,-28.259469919546973,-8.086399156229163
48000,0.021250927820801735,0.0033752962481230497,-5.874762879335982e-06,-3.824956754947479e-06,0.9952233051398072,0.9038712015224579,0.0030486382869422957,0.00024888685733470695,0.0006492830042644226,1.0,1.0,0.021250927820801735,0.002966349944472313,0.0033797326032072306,48849.600854935066,28235.563913101203,-22159.124128460884,22143.118593752384,-5.895296335220337,-28.724983395950403,-8.445319348818884
49000,0.02122972160577774,0.0033757174387574196,-5.676147134547672e-06,-3.817137629590266e-06,0.9945862358519043,0.9082848466701448,0.003044907656886142,0.000276799986069054,0.0006482053926602505,1.0,1.0,0.02122972160577774,0.002968334825709462,0.0033762112725526094,48376.926839841326,28703.690498438176,-22632.235234618187,22610.874326229095,-11.343088865280151,-29.16207445951295,-8.816172209080833
50000,0.0212237685918808,0.003375972155481577,-5.452141643847355e-06,-3.8122768229998846e-06,0.9943874514450022,0.911059275467364,0.0030389306074283806,0.00030887127254602964,0.0006454727859787068,1.0,1.0,0.0212237685918808,0.002969306195154786,0.0033716936595737934,47904.147214393204,29171.910789282225,-23105.416969776154,23078.712332487106,-16.80529546737671,-29.56418416935776,-9.198456795118545
51000,0.021198982372879982,0.0033761688973754644,-5.226691856104194e-06,-3.841232488498177e-06,0.9946872340317819,0.9114062324601679,0.0030327225155361015,0.0003416741901010045,0.0006334881519041158,1.0,1.0,0.021198982372879982,0.0029707010835409164,0.003365994431078434,47431.23598044932,29640.257527596077,-23578.694460392,23546.665384352207,-22.27620106935501,-29.93044084131543,-9.592143243869941
52000,0.021182389929890633,0.003376529784873128,-5.019788834499945e-06,-3.875706364767117e-06,0.9957440947609459,0.9115571599229751,0.0030260460941987644,0.00037251260470272385,0.0006195569640006782,1.0,1.0,0.021182389929890633,0.0029713388066738844,0.003358903806656599,46958.229982833625,30108.714777865407,-24052.042070508003,24014.716297626495,-27.74680346250534,-30.272053341628634,-9.998480238911725
53000,0.021163394674658775,0.003376806154847145,-4.861414193472415e-06,-3.932163438057609e-06,0.9972228293541201,0.9145072580337188,0.0030201208121264367,0.00039649730856994303,0.0005994113809602575,1.0,1.0,0.021163394674658775,0.002971604699268937,0.003351972671225667,46485.101403221255,30577.29556418957,-24525.489148378372,24482.879813432693,-33.23243963718414,-30.59055159962736,-10.41575075687797
54000,0.021142415702342987,0.0033768920693546534,-4.7418463198271e-06,-3.959923823250837e-06,0.9985229137526913,0.9201927744546694,0.00301335060268737,0.0004148501703603591,0.0005861527540463318,1.0,1.0,0.021142415702342987,0.0029717078432440758,0.0033464189618825912,46011.88059178053,31045.987677355526,-24999.00645649433,24951.14275586605,-38.72164326906204,-30.887048274860717,-10.844921489475382
55000,0.021122464910149574,0.0033771374728530645,-4.6605971407758e-06,-3.932432376128012e-06,0.9994143045490959,0.9245320541379757,0.0030062657439114404,0.00042770107055961626,0.0005870925232685509,1.0,1.0,0.021122464910149574,0.002971822628751397,0.003342582145705819,45538.58927414031,31514.761145512814,-25472.56899547577,25419.474454283714,-44.21927160024643,-31.158269616076723,-11.286691229099233
56000,0.02110346034169197,0.0033770196605473757,-4.639400836619507e-06,-3.862777416081288e-06,0.9998055313175772,0.9264072870079911,0.0029987333172419306,0.00043061958649143195,0.0005978377446291816,1.0,1.0,0.02110346034169197,0.0029721877072006464,0.0033390363678336143,45065.173665112154,31983.67182331303,-25946.22789132595,25887.93196195364,-49.71951276063919,-31.401556438104308,-11.739861359390488
57000,0.021067049354314804,0.003376967739313841,-4.655855862215942e-06,-3.7719062305389397e-06,0.999923126469494,0.9242802735173364,0.0029927019121933074,0.0004274572599379245,0.0006142484950508731,1.0,1.0,0.021067049354314804,0.0029734827112406492,0.0033371951431035995,44591.68732613403,32452.677610863168,-26419.930407881737,26356.475614368916,-55.21073281764984,-31.617734015766473,-12.201996494251944
58000,0.021031886339187622,0.0033770340960472822,-4.714195501996345e-06,-3.697529913268287e-06,0.9998699851011198,0.920485115079385,0.002989280290438545,0.0004175035465580623,0.0006265564126076706,1.0,1.0,0.021031886339187622,0.0029743078630417585,0.003338027512654662,44118.139379355634,32921.77521365457,-26893.67044568062,26825.099854290485,-60.69458484649658,-31.809825036252732,-12.675359364082396
59000,0.020998677238821983,0.003376644104719162,-4.81247742545818e-06,-3.631669968206527e-06,0.9998194503976029,0.912238383096142,0.002987733598443121,0.0004006770045999475,0.0006364084607565212,1.0,1.0,0.020998677238821983,0.00297324126586318,0.0033346167765557766,43644.51092371963,33390.995425582296,-27367.46807181835,27293.836508214474,-66.16027981042862,-31.978995537981973,-13.158917367822141
60000,0.020961850881576538,0.0033763046376407146,-4.907223311337993e-06,-3.5683201117964147e-06,0.9999027865037657,0.9022554698501738,0.002986713773919736,0.0003845278512346617,0.0006451837605596644,1.0,1.0,0.020961850881576538,0.0029706230852752924,0.0033271540887653828,43170.82319008774,33860.32339962961,-27841.310421705246,27762.671234548092,-71.61138421297073,-32.13361179298954,-13.652165081519342
