x,Req_r,R_r,dacc_r,net_r,cc,chi
74,4.980551159900e-09,-6.564797015175e-17,2.896233977283e-18,7.687185121619e-06,2.599392780864e-05,-7.058781833062e-05
75,5.174914131994e-09,-7.144043810631e-17,1.206764157201e-18,7.267425889554e-06,2.768144203025e-05,-7.008380083630e-05
76,5.721559991007e-09,-8.133590419536e-17,-1.991160859382e-18,6.828489510909e-06,2.690427599359e-05,-7.050537244183e-05
77,4.545259086982e-09,-6.009685502862e-17,-2.272739162729e-18,6.368691506593e-06,2.698407710311e-05,-6.995535620381e-05
78,3.777930270071e-09,-5.406303424262e-17,3.197925016583e-18,5.893668402796e-06,2.587752272852e-05,-6.978749249125e-05
79,5.696252312349e-09,-8.507687308269e-17,2.192288218916e-18,5.407566609590e-06,2.698954454781e-05,-7.019131098068e-05
80,5.053437274435e-09,-7.590546548796e-17,-3.459390583977e-18,4.910580489946e-06,2.843023156580e-05,-6.864790120551e-05
81,1.263359318609e-09,-1.158493590913e-17,5.792467954566e-18,4.406208577363e-06,2.619391707981e-05,-7.002224570825e-05
82,2.937715338624e-09,-4.006457001908e-17,-5.189085875965e-18,3.899828247402e-06,3.328604714516e-05,-6.628847309365e-05
83,1.675368327162e-09,-1.918755009950e-17,-2.353190106542e-18,3.391245137090e-06,5.118117798119e-05,-5.379199540176e-05
84,2.110660400080e-09,-3.197925016583e-17,4.465027381645e-18,2.883439478667e-06,7.722456710860e-05,-3.515892230382e-05
85,3.979379392189e-09,-5.647656255702e-17,2.172175482962e-18,2.375763395558e-06,1.228739713947e-04,4.190511833875e-06
86,4.377216100693e-09,-6.275173617447e-17,-2.111837275102e-18,1.872752023780e-06,1.867054828737e-04,5.931959339253e-05
87,5.361178646917e-09,-8.248233014471e-17,-3.921983510904e-19,1.373142004013e-06,2.744719108861e-04,1.398328139906e-04
88,3.690871855487e-09,-4.947733044525e-17,1.739751659965e-18,8.791037227796e-07,3.899412311897e-04,2.464114348148e-04
89,2.994404538818e-09,-4.012490822694e-17,-6.355624561260e-18,3.918357517408e-07,5.369085559639e-04,3.838961436445e-04
90,4.009748606578e-09,-6.088125173080e-17,-5.370100499546e-18,-8.730136829874e-08,7.230896982749e-04,5.566717719454e-04
91,3.056155274744e-09,-4.434858277715e-17,1.226876893155e-18,-5.588583324267e-07,9.606969583135e-04,7.767851314208e-04
92,1.015951452048e-08,-1.538624300432e-16,-1.005636797668e-20,-1.024033712304e-06,1.260458709945e-03,1.060315511479e-03
93,1.145729228206e-08,-1.700330697497e-16,2.514091994169e-19,-1.487362643947e-06,1.618381816704e-03,1.413415714069e-03
94,1.221652264180e-08,-1.863847240797e-16,-2.715219353703e-19,-1.951371845992e-06,2.044378571334e-03,1.811194153577e-03
95,1.174579981876e-08,-1.717225395697e-16,3.610236103627e-18,-2.412271240483e-06,3.457825757655e-03,2.418558313528e-03
96,1.204847965551e-08,-1.789027863051e-16,-3.660517943510e-18,-3.273914689603e-06,5.004379479500e-02,7.131516263008e-03
97,1.020000680633e-08,-1.500309538440e-16,6.938893903907e-19,-4.067142372546e-06,7.513948152202e-02,2.506066724583e-02
98,1.050597664131e-08,-1.571961160274e-16,1.352581492863e-18,-7.256428184717e-06,1.037156933748e-01,2.921647782140e-02
99,1.010959512433e-08,-1.504193810571e-16,-6.838330224140e-19,-1.457347332135e-05,1.214984651651e-01,3.553588080507e-02
100,9.094994469627e-09,-1.298256678792e-16,-1.847857615714e-18,-1.736167089447e-05,1.517562498702e-01,3.869538880532e-02
101,8.653017610651e-09,-1.257772333975e-16,-6.170720951626e-19,-1.878042745849e-05,1.739521863025e-01,4.372557383861e-02
102,7.492910593437e-09,-1.069283233875e-16,-8.450749508038e-20,-2.094161927348e-05,2.032205880496e-01,4.890366661771e-02
103,7.163343300778e-09,-1.082622189075e-16,1.472735312656e-18,-2.192706568732e-05,2.695178351074e-01,6.236664514453e-02
104,4.544361331682e-09,-6.821694006023e-17,-4.884311145703e-20,-3.192699333617e-05,3.602410476132e-01,9.717704542146e-02
105,1.945950786016e-09,-2.739455544250e-17,4.038996816023e-20,-2.113060747987e-05,3.064021723823e-01,1.047766433887e-01
